Rank_num,Youtuber,Subscribers,Video_views,Category,Uploads,Country,Abbreviation,Channel_type,Video_views_for_the_last_30_days,Lowest_monthly_earnings,Highest_monthly_earnings,Lowest_yearly_earnings,Highest_yearly_earnings,Created_year,Created_month,Created_date,Gross_tertiary_education_enrollment_pct,Latitude,Longitude
393,Skrillex,20100000,6618524158,Music,241,United States,US,Music,25263000,6300,101100,75800,1200000,2010,Apr,6,88.2,37.09024,-95.712891
394,AuthenticGames,20100000,8920141342,Gaming,4974,Brazil,BR,Games,5420000,1400,21700,16300,260200,2011,Oct,7,51.3,-14.235004,-51.92528
395,Robin Hood Gamer,20100000,10366850490,Entertainment,0,nan,nan,Games,nan,0,0,0,0,2013,Mar,16,nan,nan,nan
396,Pencilmation,20100000,11317309935,Film & Animation,1481,United States,US,Entertainment,14862000,3700,59400,44600,713400,2007,Feb,1,88.2,37.09024,-95.712891
397,7clouds,20100000,14816075927,Music,2384,United States,US,Music,276751000,69200,1100000,830300,13300000,2013,May,25,88.2,37.09024,-95.712891
398,5-Minute Crafts PLAY,20100000,6119294270,Howto & Style,5491,United States,US,Howto,105784000,26400,423100,317400,5100000,2017,Oct,30,88.2,37.09024,-95.712891
399,Marvel Entertainment,20100000,5634695322,Entertainment,1,United States,US,Film,63,0.02,0.25,0.19,3,2011,May,10,88.2,37.09024,-95.712891
400,BuzzFeedVideo,20100000,17913237851,People & Blogs,7737,United States,US,People,9112000,2300,36400,27300,437400,2011,Aug,10,88.2,37.09024,-95.712891
401,REACT,20000000,13154314376,Entertainment,4339,United States,US,Entertainment,23206000,5800,92800,69600,1100000,2007,Jun,4,88.2,37.09024,-95.712891
402,Vevo,20000000,559765455,Music,1527,United States,US,Music,1331000,333,5300,4000,63900,2006,Apr,14,88.2,37.09024,-95.712891
403,Gordon Ramsay,20000000,3875172235,Entertainment,1527,United Kingdom,GB,Entertainment,39228000,9800,156900,117700,1900000,2006,Apr,29,60,55.378051,-3.435973
404,Pentatonix,20000000,6033295543,Music,1,Canada,CA,Entertainment,nan,0,0,0,0,2006,Mar,9,68.9,56.130366,-106.346771
