Rank_num,Youtuber,Subscribers,Video_views,Category,Uploads,Country,Abbreviation,Channel_type,Video_views_for_the_last_30_days,Lowest_monthly_earnings,Highest_monthly_earnings,Lowest_yearly_earnings,Highest_yearly_earnings,Created_year,Created_month,Created_date,Gross_tertiary_education_enrollment_pct,Latitude,Longitude
112,Ryans World,35200000,55299840198,Entertainment,2453,United States,US,Entertainment,238613000.0,59700.0,954500.0,715800.0,11500000,2015.0,Mar,17.0,88.2,37.09024,-95.712891
113,Genevieves Playhouse  Learning Videos for Kids,34900000,25607397308,Education,617,United States,US,Film,335307000.0,83800.0,1300000.0,1000000.0,16100000,2016.0,Jan,6.0,88.2,37.09024,-95.712891
116,Geet MP3,34300000,12746535822,Music,679,India,IN,Music,101357000.0,25300.0,405400.0,304100.0,4900000,2016.0,Oct,22.0,28.1,20.593684,78.96288
117,J Balvin,34100000,23005313609,Music,141,Colombia,CO,Music,128696000.0,32200.0,514800.0,386100.0,6200000,2011.0,Feb,18.0,55.3,4.570868,-74.297333
118,Jess No Limit,34000000,3963007415,Entertainment,2284,Indonesia,ID,Entertainment,547141000.0,136800.0,2200000.0,1600000.0,26300000,2017.0,Sep,7.0,36.3,-0.789275,113.921327
119,Jingle Toons,34000000,11351015824,Film  Animation,240,India,IN,Film,179903000.0,45000.0,719600.0,539700.0,8600000,2013.0,Jan,24.0,28.1,20.593684,78.96288
120,VEGETTA777,33800000,15432929204,Gaming,7606,Spain,ES,Games,39094000.0,9800.0,156400.0,117300.0,1900000,2008.0,Mar,2.0,88.9,40.463667,-3.74922
121,Galinha Pintadinha,33800000,27274550757,Film  Animation,66,Brazil,BR,Film,403508000.0,100900.0,1600000.0,1200000.0,19400000,2006.0,Aug,30.0,51.3,-14.235004,-51.92528
122,SSSniperWolf,33700000,23492684419,Gaming,3366,United States,US,Entertainment,210955000.0,52700.0,843800.0,632900.0,10100000,2013.0,Jan,20.0,88.2,37.09024,-95.712891
124,Selena Gomez,33600000,13013567335,Film  Animation,188,United States,US,Music,115792000.0,28900.0,463200.0,347400.0,5600000,2008.0,Feb,8.0,88.2,37.09024,-95.712891
125,Rajshri,33500000,14864294792,Music,3741,India,IN,Entertainment,272255000.0,68100.0,1100000.0,816800.0,13100000,2006.0,Mar,24.0,28.1,20.593684,78.96288
126,Ch3Thailand,33500000,29611914495,Entertainment,96214,Thailand,TH,Entertainment,61307000.0,0.0,0.0,0.0,0,2014.0,May,29.0,49.3,15.870032,100.992541
